,prices,address,beds,links
22,398000.0, 487 Lynhurst Dr SW Atlanta GA 30311 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">3147<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/487-Lynhurst-Dr-SW-Atlanta-GA-30311/35870544_zpid/ "
23,700000.0, 2131 Calverton Ln SW Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">5<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">5<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">5360<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2131-Calverton-Ln-SW-Atlanta-GA-30331/108597348_zpid/ "
24,380990.0, GRAYSON Plan Waterford Commons ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">3363<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- New construction</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/community/waterford-commons/2079690652_zpid/ "
25,349000.0, 1933 N Ave Nw Atlanta GA 30332 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">3<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1636<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/1933-N-Ave-Nw-Atlanta-GA-30332/2077939675_zpid/ "
26,399900.0, 462 Deering Rd NW Atlanta GA 30309 ,"<ul class=""list-card-details""><li class="""">3<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1260<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/462-Deering-Rd-NW-Atlanta-GA-30309/35909016_zpid/ "
27,199900.0, 2657 Lenox Rd NE APT 55 Atlanta GA 30324 ,"<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1688<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/2657-Lenox-Rd-NE-APT-55-Atlanta-GA-30324/2085112410_zpid/ "
28,180000.0, 20 Marietta St NW APT 11B Atlanta GA 30303 ,"<ul class=""list-card-details""><li class="""">2<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">1156<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- Condo for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/20-Marietta-St-NW-APT-11B-Atlanta-GA-30303/2084330339_zpid/ "
29,637500.0, 4670 Regency Trce SW Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">4<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">5910<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/4670-Regency-Trce-SW-Atlanta-GA-30331/65450716_zpid/ "
30,354281.0, 6640 Springfield Way Atlanta GA 30331 ,"<ul class=""list-card-details""><li class="""">3<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">2237<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- New construction</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/6640-Springfield-Way-Atlanta-GA-30331/2077253766_zpid/ "
31,150000.0, 197 Barfield Ave SW Atlanta GA 30310 ,"<ul class=""list-card-details""><li class="""">4<abbr class=""list-card-label""> <!-- -->bds</abbr></li><li class="""">2<abbr class=""list-card-label""> <!-- -->ba</abbr></li><li class="""">2412<abbr class=""list-card-label""> <!-- -->sqft</abbr></li><li class=""list-card-statusText"">- House for sale</li></ul>","<a class=""list-card-link list-card-link-top-margin"" href=""https://www.zillow.com/homedetails/197-Barfield-Ave-SW-Atlanta-GA-30310/35857583_zpid/ "
